Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Column1,Trip_Price per person
19.35,Morning,Weekday,3,Low,Clear,3.56,0.8,0.32,53.82,36.2624,25717.01952,12.08746667
47.59,Afternoon,Weekday,1,High,Clear,,0.62,0.43,40.57,,25717.01952,0
36.87,Evening,Weekend,1,High,Clear,2.7,1.21,0.15,37.27,52.9032,25717.01952,52.9032
30.33,Evening,Weekday,4,Low,,3.48,0.51,0.15,116.81,36.4698,25717.01952,9.11745
,Evening,Weekday,3,High,Clear,2.93,0.63,0.32,22.64,15.618,25717.01952,5.206
8.64,Afternoon,Weekend,2,Medium,Clear,2.55,1.71,0.48,89.33,60.2028,25717.01952,30.1014
3.85,Afternoon,Weekday,4,High,Rain,3.51,1.66,,5.05,11.2645,25717.01952,2.816125
43.44,Evening,Weekend,3,,Clear,2.97,1.87,0.23,,101.1216,25717.01952,33.7072
30.45,Morning,Weekday,3,High,Clear,2.77,1.78,0.34,110.33,,25717.01952,0
35.7,Afternoon,Weekday,2,Low,Rain,3.39,1.52,0.47,,75.5657,25717.01952,37.78285
,Morning,Weekday,4,,Clear,2.4,0.58,0.43,26.34,14.892,25717.01952,3.723
48.53,Night,Weekday,3,Low,Clear,4.78,,0.5,79.94,,25717.01952,0
41.79,Night,Weekend,3,High,Clear,4.6,1.77,0.11,86.95,88.1328,25717.01952,29.3776
11.4,Morning,Weekday,3,,Clear,4.12,,0.15,84.12,36.118,25717.01952,12.03933333
9.91,Evening,Weekday,2,High,Clear,2.32,1.26,0.34,41.72,28.9914,25717.01952,14.4957
9.99,Night,Weekday,4,High,Clear,4.33,0.85,0.43,34,27.4415,25717.01952,6.860375
15.91,Morning,Weekday,4,Low,Clear,4.42,1.77,0.21,114.93,56.716,25717.01952,14.179
26.71,Afternoon,Weekend,4,Low,Rain,4.3,1.59,0.2,111.18,69.0049,25717.01952,17.251225
22.17,Night,,4,Low,Clear,2.34,1.97,0.41,57.59,69.6268,25717.01952,17.4067
15.27,Morning,,,Low,Clear,3.93,0.73,0.12,,27.3543,25717.01952,#DIV/0!
30.98,Afternoon,Weekend,1,Low,Rain,4.5,0.84,0.25,57.02,44.7782,25717.01952,44.7782
7.84,Morning,Weekday,4,Medium,,3.73,0.82,0.3,53.8,26.2988,25717.01952,6.5747
105.94355,Night,Weekend,2,Low,Rain,3.94,1.69,0.32,23.03,201.8695092,25717.01952,100.9347546
18.95,Night,Weekday,1,Low,Clear,3.38,0.78,0.39,54.04,39.2366,25717.01952,39.2366
23.35,Night,,3,Low,Rain,3.59,0.6,0.24,66.8,33.632,25717.01952,11.21066667
39.47,Afternoon,Weekday,1,Low,Clear,,,0.35,7.59,83.6965,25717.01952,83.6965
10.78,Evening,,3,High,Rain,3.92,0.54,0.33,56.07,28.2443,25717.01952,9.414766667
138.0983279,Evening,Weekend,4,Medium,Rain,2.24,1.75,0.32,94.86,280.8773016,25717.01952,70.21932539
30.03,,Weekday,1,High,Clear,3.31,1.05,0.36,83.21,64.7971,25717.01952,64.7971
3.28,Evening,Weekday,2,Medium,Clear,2.88,1.76,0.2,78.04,24.2608,25717.01952,12.1304
30.77,Morning,Weekday,1,Low,Clear,3.64,1.33,0.13,109.6,58.8121,25717.01952,58.8121
9.36,Afternoon,Weekday,1,Medium,Clear,2.4,1.85,0.15,7.07,20.7765,25717.01952,20.7765
4.19,Morning,Weekday,1,Low,Clear,4.07,1.89,0.19,69.06,,25717.01952,0
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28,25717.01952,#DIV/0!
48.32,Morning,Weekday,2,Low,Clear,2.49,0.61,0.44,67.25,61.5552,25717.01952,30.7776
40.61,Afternoon,Weekday,1,Low,Clear,2.31,0.88,0.38,42.25,54.1018,25717.01952,54.1018
15.93,Afternoon,Weekday,2,Low,,2.44,1.5,0.42,20.67,35.0164,25717.01952,17.5082
